yearID,processID,pollutantID,inventory,activity,emissionRate,massUnits,distanceUnits,startUnits,rateUnits
2025,2,98,38820816580,,0.020075951,kg,mi,start,kg/start
2025,2,100,7023614.144,,3.63222E-06,kg,mi,start,kg/start
2025,2,110,6216388.464,,3.21477E-06,kg,mi,start,kg/start
2026,1,2,5012265490,,0.002573848,kg,mi,start,kg/start
2026,1,3,202577310.2,,0.000104025,kg,mi,start,kg/start
2026,1,87,129658188.7,,6.65808E-05,kg,mi,start,kg/start
2026,1,90,6.7201E+11,,0.345083767,kg,mi,start,kg/start
2026,1,91,9071463455,,0.004658286,MMBTU,mi,start,MMBTU/mi
2026,1,98,6.73636E+11,,0.345918508,kg,mi,start,kg/start
2026,1,100,84116557.85,,4.31947E-05,kg,mi,start,kg/start
2026,1,110,15748649.1,,8.08709E-06,kg,mi,start,kg/start
2026,2,2,1570558435,,0.000806497,kg,mi,start,kg/start
2026,2,3,111075894.8,,5.70386E-05,kg,mi,start,kg/start
2026,2,87,136793574.5,,7.02448E-05,kg,mi,start,kg/start
2026,2,90,35065655041,,0.018006559,kg,mi,start,kg/start
2026,2,91,489064999,,0.00025114,MMBTU,mi,start,MMBTU/mi
2026,2,98,38698206632,,0.01987191,kg,mi,start,kg/start
2026,2,100,7150175.818,,3.67169E-06,kg,mi,start,kg/start
2026,2,110,6328446.528,,3.24972E-06,kg,mi,start,kg/start
2027,1,2,4774051883,,0.002433683,kg,mi,start,kg/start
2027,1,3,177646701.9,,9.05595E-05,kg,mi,start,kg/start
2027,1,87,121123706.3,,6.17456E-05,kg,mi,start,kg/start
2027,1,90,6.62701E+11,,0.337827094,kg,mi,start,kg/start
2027,1,91,8945601003,,0.004560227,MMBTU,mi,start,MMBTU/mi
2027,1,98,6.6426E+11,,0.338621928,kg,mi,start,kg/start
2027,1,100,84217498.59,,4.29318E-05,kg,mi,start,kg/start
2027,1,110,15397322.78,,7.84914E-06,kg,mi,start,kg/start
2027,2,2,1495422424,,0.000762326,kg,mi,start,kg/start
2027,2,3,106088055.4,,5.40808E-05,kg,mi,start,kg/start
2027,2,87,130702480.3,,6.66286E-05,kg,mi,start,kg/start
2027,2,90,35077813961,,0.017881727,kg,mi,start,kg/start
2027,2,91,489203929.8,,0.000249383,MMBTU,mi,start,MMBTU/mi
2027,2,98,38604271116,,0.01967942,kg,mi,start,kg/start
2027,2,100,7234251.769,,3.68783E-06,kg,mi,start,kg/start
2027,2,110,6402912.225,,3.26403E-06,kg,mi,start,kg/start
2028,1,2,4495836268,,0.002275453,kg,mi,start,kg/start
2028,1,3,149746812.2,,7.57905E-05,kg,mi,start,kg/start
2028,1,87,112477529.5,,5.69276E-05,kg,mi,start,kg/start
2028,1,90,6.53803E+11,,0.330905799,kg,mi,start,kg/start
2028,1,91,8825364720,,0.004466734,MMBTU,mi,start,MMBTU/mi
2028,1,98,6.55293E+11,,0.331659997,kg,mi,start,kg/start
2028,1,100,84192937.11,,4.26121E-05,kg,mi,start,kg/start
2028,1,110,14933543.69,,7.55823E-06,kg,mi,start,kg/start
2028,2,2,1426010117,,0.000721739,kg,mi,start,kg/start
2028,2,3,101424992.1,,5.13337E-05,kg,mi,start,kg/start
2028,2,87,125001092.1,,6.32661E-05,kg,mi,start,kg/start
2028,2,90,35066940326,,0.017748241,kg,mi,start,kg/start
2028,2,91,489026700.7,,0.000247508,MMBTU,mi,start,MMBTU/mi
2028,2,98,38482902208,,0.019477144,kg,mi,start,kg/start
2028,2,100,7313977.66,,3.70178E-06,kg,mi,start,kg/start
2028,2,110,6473479.185,,3.27639E-06,kg,mi,start,kg/start
2029,1,2,4210691762,,0.002119472,kg,mi,start,kg/start
2029,1,3,122629885.6,,6.17264E-05,kg,mi,start,kg/start
2029,1,87,104777658.5,,5.27404E-05,kg,mi,start,kg/start
2029,1,90,6.44821E+11,,0.324573826,kg,mi,start,kg/start
2029,1,91,8703808895,,0.004381105,MMBTU,mi,start,MMBTU/mi
2029,1,98,6.4624E+11,,0.325288271,kg,mi,start,kg/start
2029,1,100,84444975.32,,4.25058E-05,kg,mi,start,kg/start
2029,1,110,14824724.4,,7.4621E-06,kg,mi,start,kg/start
2029,2,2,1361420084,,0.000685278,kg,mi,start,kg/start
2029,2,3,97073512.2,,4.88624E-05,kg,mi,start,kg/start
2029,2,87,119581989.7,,6.01922E-05,kg,mi,start,kg/start
2029,2,90,35050420743,,0.017642802,kg,mi,start,kg/start
2029,2,91,488761662.8,,0.000246021,MMBTU,mi,start,MMBTU/mi
2029,2,98,38354049758,,0.0193057,kg,mi,start,kg/start
2029,2,100,7389706.142,,3.71964E-06,kg,mi,start,kg/start
2029,2,110,6540649.849,,3.29227E-06,kg,mi,start,kg/start
2030,1,2,3976713291,,0.001990749,kg,mi,start,kg/start
2030,1,3,100981135.2,,5.05513E-05,kg,mi,start,kg/start
2030,1,87,98414811.27,,4.92666E-05,kg,mi,start,kg/start
2030,1,90,6.36591E+11,,0.318678365,kg,mi,start,kg/start
2030,1,91,8592522894,,0.004301431,MMBTU,mi,start,MMBTU/mi
2030,1,98,6.37965E+11,,0.319366424,kg,mi,start,kg/start
2030,1,100,84521710.01,,4.23117E-05,kg,mi,start,kg/start
2030,1,110,14556523.79,,7.28702E-06,kg,mi,start,kg/start
2030,2,2,1299498480,,0.000650531,kg,mi,start,kg/start
2030,2,3,92878432.69,,4.64951E-05,kg,mi,start,kg/start
